"source_output_set","artifact_type","dataset_content","model_scope","condition","source_relative_path","repository_path","publication_status","license_basis","source_bytes","source_sha256","repository_bytes","repository_sha256","same_content_copies","provenance_note"
"acdc_entire_test","detection_log","ACDC","ACDC_ENTIRE","mixed","acdc_entire_test/entire_inference_results.csv","results/ACDC/ENTIRE/inference_results.csv","included_in_repository","Research-generated detection metadata","45828","707885bf0485636f5edb6136de3fc8bd5092b26d18187858ac6bcc60bee4fe92","45022","214831b81835db49328860f0f35dd982ea0ca3d944537678bfccaedc4fe9a82d","1",""
"acdc_entire_test","annotated_prediction","ACDC","ACDC_ENTIRE","mixed","acdc_entire_test/entire_visual_results/GOPR0122_frame_000001_rgb_anon.jpg","","withheld_acdc_redistribution_restriction","ACDC research-use licence: image redistribution prohibited","844496","1d1eedf902ca000fbe1d6430e8162e028ef79f4c7c5fa439cbbbad6a9db033fd","","","1",""
"acdc_entire_test","annotated_prediction","ACDC","ACDC_ENTIRE","mixed","acdc_entire_test/entire_visual_results/GOPR0122_frame_000018_rgb_anon.jpg","","withheld_acdc_redistribution_restriction","ACDC research-use licence: image redistribution prohibited","741295","5f25f4f1a9f56908589b1e7a3433c1eb675d90cc6dee4a80311ac518c3ea89ee","","","1",""
"acdc_entire_test","annotated_prediction","ACDC","ACDC_ENTIRE","mixed","acdc_entire_test/entire_visual_results/GOPR0122_frame_000028_rgb_anon.jpg","","withheld_acdc_redistribution_restriction","ACDC research-use licence: image redistribution prohibited","685504","dfd1b699d1cd86e1db32080582292d652f61777712fda02240e44c59135462ea","","","1",""
"acdc_entire_test","annotated_prediction","ACDC","ACDC_ENTIRE","mixed","acdc_entire_test/entire_visual_results/GOPR0122_frame_000040_rgb_anon.jpg","","withheld_acdc_redistribution_restriction","ACDC research-use licence: image redistribution prohibited","736027","339dab33ca9c0c9a9befc0375cf70bf99a2860cf1143a8ebfec09f6a84aa0645","","","1",""
"acdc_entire_test","annotated_prediction","ACDC","ACDC_ENTIRE","mixed","acdc_entire_test/entire_visual_results/GOPR0122_frame_000049_rgb_anon.jpg","","withheld_acdc_redistribution_restriction","ACDC research-use licence: image redistribution prohibited","782257","4b99a57a8edfef3fc0c5a11075e7cc7adc7002361ae0c52f033300ebcdc2c7b7","","","1",""
"acdc_entire_test","annotated_prediction","ACDC","ACDC_ENTIRE","mixed","acdc_entire_test/entire_visual_results/GOPR0122_frame_000057_rgb_anon.jpg","","withheld_acdc_redistribution_restriction","ACDC research-use licence: image redistribution prohibited","718568","b24a8d35f287f11bc29c8be4ead533c4fbc7ed9b9e32f9478b1c85da39513844","","","1",""
"acdc_entire_test","annotated_prediction","ACDC","ACDC_ENTIRE","mixed","acdc_entire_test/entire_visual_results/GOPR0122_frame_000064_rgb_anon.jpg","","withheld_acdc_redistribution_restriction","ACDC research-use licence: image redistribution prohibited","766250","08d8aafe1b09df05fe67d22923089fec2ab4affaf17ab7de547d6e4824d5e8d5","","","1",""
"acdc_entire_test","annotated_prediction","ACDC","ACDC_ENTIRE","mixed","acdc_entire_test/entire_visual_results/GOPR0122_frame_000070_rgb_anon.jpg","","withheld_acdc_redistribution_restriction","ACDC research-use licence: image redistribution prohibited","882892","8713a690369f9b3e8907c5728e7bffab6dc06baac0ca351bd6a2029bb1bb7ea8","","","1",""
"acdc_entire_test","annotated_prediction","ACDC","ACDC_ENTIRE","mixed","acdc_entire_test/entire_visual_results/GOPR0122_frame_000077_rgb_anon.jpg","","withheld_acdc_redistribution_restriction","ACDC research-use licence: image redistribution prohibited","758580","c7a2fbe61ef4c672200b9226263a88a04b642440d95842077d3231ecdce56679","","","1",""
"acdc_entire_test","annotated_prediction","ACDC","ACDC_ENTIRE","mixed","acdc_entire_test/entire_visual_results/GOPR0122_frame_000085_rgb_anon.jpg","","withheld_acdc_redistribution_restriction","ACDC research-use licence: image redistribution prohibited","669811","f9ff4b13f0c00f210fa856fb986f66e7d84c0df10d64b3d72cb9f91caaf86e8b","","","1",""
"acdc_entire_test","annotated_prediction","ACDC","ACDC_ENTIRE","mixed","acdc_entire_test/entire_visual_results/GOPR0122_frame_000092_rgb_anon.jpg","","withheld_acdc_redistribution_restriction","ACDC research-use licence: image redistribution prohibited","782077","89648355f28e75b13dae656dc1e44087e27bde6b6e413da3bc5ff189cbacb2b2","","","1",""
"acdc_entire_test","annotated_prediction","ACDC","ACDC_ENTIRE","mixed","acdc_entire_test/entire_visual_results/GOPR0122_frame_000099_rgb_anon.jpg","","withheld_acdc_redistribution_restriction","ACDC research-use licence: image redistribution prohibited","732203","50f8ed4554e300fa6833cf80426f57b7252e26537eceb4f42e649927dd1f10e0","","","1",""
"acdc_entire_test","annotated_prediction","ACDC","ACDC_ENTIRE","mixed","acdc_entire_test/entire_visual_results/GOPR0122_frame_000106_rgb_anon.jpg","","withheld_acdc_redistribution_restriction","ACDC research-use licence: image redistribution prohibited","738765","7a9ee84255223d123a6a6eaa8849ed6de1d4ca928db8c942fb99872518a245f0","","","1",""
"acdc_entire_test","annotated_prediction","ACDC","ACDC_ENTIRE","mixed","acdc_entire_test/entire_visual_results/GOPR0122_frame_000113_rgb_anon.jpg","","withheld_acdc_redistribution_restriction","ACDC research-use licence: image redistribution prohibited","600713","28ceef8f50e235e90f6c32dc57187bcb3027ae05c1b20ffdedacab27d7261e58","","","1",""
"acdc_entire_test","annotated_prediction","ACDC","ACDC_ENTIRE","mixed","acdc_entire_test/entire_visual_results/GOPR0122_frame_000121_rgb_anon.jpg","","withheld_acdc_redistribution_restriction","ACDC research-use licence: image redistribution prohibited","686872","d1eb84062c7655f3e1e795c98f02c10728d856f1610b562488c400e2b237fa97","","","1",""
"acdc_entire_test","annotated_prediction","ACDC","ACDC_ENTIRE","mixed","acdc_entire_test/entire_visual_results/GOPR0122_frame_000306_rgb_anon.jpg","","withheld_acdc_redistribution_restriction","ACDC research-use licence: image redistribution prohibited","707232","bc72a2298dfa668f67cd75498aed521ad752b6dcf5fd446ce03c2998a7c1e233","","","1",""
"acdc_entire_test","annotated_prediction","ACDC","ACDC_ENTIRE","mixed","acdc_entire_test/entire_visual_results/GOPR0122_frame_000312_rgb_anon.jpg","","withheld_acdc_redistribution_restriction","ACDC research-use licence: image redistribution prohibited","670060","a5d66aa9fcb05e2b767e97f0ff36335a276eed19a38900a6bd985cbba352fa5d","","","1",""
"acdc_entire_test","annotated_prediction","ACDC","ACDC_ENTIRE","mixed","acdc_entire_test/entire_visual_results/GOPR0122_frame_000317_rgb_anon.jpg","","withheld_acdc_redistribution_restriction","ACDC research-use licence: image redistribution prohibited","580016","2752aefb092aca17a39d8679ffcc7b5aba20be76f80ce105328d5081a2d9085f","","","1",""
"acdc_entire_test","annotated_prediction","ACDC","ACDC_ENTIRE","mixed","acdc_entire_test/entire_visual_results/GOPR0122_frame_000322_rgb_anon.jpg","","withheld_acdc_redistribution_restriction","ACDC research-use licence: image redistribution prohibited","671309","11063f64ad9418c267977c573aa07d7dde402f016fa5ee8bbd5757f8498eca9f","","","1",""
"acdc_entire_test","annotated_prediction","ACDC","ACDC_ENTIRE","mixed","acdc_entire_test/entire_visual_results/GOPR0122_frame_000327_rgb_anon.jpg","","withheld_acdc_redistribution_restriction","ACDC research-use licence: image redistribution prohibited","592741","12e9d1fca1ca1a0376a58a30f41aaf134982863eb489fbc7083986557320bcc0","","","1",""
